platform,author,content,date,likes,shares
X/Twitter,user_jakarta,"Proses rekapitulasi tahun ini sangat transparan, datanya bisa dipantau publik. Apresiasi untuk KPU.",2026-06-01,245,62
TikTok,pemilihmuda,"Pertama kali nyoblos, antusias banget lihat partisipasi anak muda meningkat di TPS.",2026-06-02,1820,410
Facebook,warga_bandung,"Sempat ada kabar simpang siur soal Sirekap, tapi setelah dicek ternyata hoaks. Hati-hati disinformasi.",2026-06-03,132,88
X/Twitter,kritik_publik,"Logistik di beberapa daerah masih lambat dan ribet. KPU perlu evaluasi agar tidak terulang.",2026-06-04,540,175
YouTube,analiskebijakan,"Diskusi soal independensi penyelenggara pemilu. Transparansi data jadi kunci kepercayaan publik.",2026-06-05,920,230
Instagram,infografis_pemilu,"Indeks kepercayaan terhadap pemilu meningkat. Bukti tata kelola yang bersih dan profesional.",2026-06-06,760,198
X/Twitter,suara_rakyat,"Saya kecewa dengan kecurangan yang diduga terjadi, prosesnya tidak adil dan bias.",2026-06-07,610,240
TikTok,cek_fakta_id,"Banyak hoaks beredar menjelang pencoblosan, fitnah dan manipulasi foto bikin resah masyarakat.",2026-06-08,430,310
Facebook,relawan_demokrasi,"Pemilu damai dan aman, partisipasi tinggi. Bangga jadi bagian dari demokrasi yang sehat.",2026-06-09,290,75
YouTube,warganet_jabar,"Petugas ramah dan profesional, antrean lancar. Pengalaman memilih yang memuaskan.",2026-06-10,180,40
X/Twitter,pengamat_pemilu,"Khawatir dengan potensi konflik dan provokasi di media sosial menjelang hari H.",2026-06-11,520,160
Instagram,komunitas_muda,"Optimis dan penuh harapan, semangat memilih demi masa depan yang lebih maju.",2026-06-12,640,120
